Year,Season,T_degC,Salnty,STheta
1957.0,1.0,34.524069926393274,34.524069926393274,31.320373817034707
1957.0,2.0,12.063765836609873,34.08737308868502,25.832005679335953
1957.0,3.0,13.33821723189734,34.05744087992668,25.53443813015582
1957.0,4.0,10.666802884615382,33.67662259615384,25.78582451923077
1958.0,1.0,33.92994470477976,33.92994470477976,32.911911433926896
1958.0,2.0,11.124230152365676,33.694050922213314,25.70599318364074
1958.0,3.0,12.13363002324809,33.81128362670209,25.601858518764534
1958.0,4.0,11.180387858347386,33.65360539629005,25.677158516020235
1959.0,1.0,33.8613281382828,33.8613281382828,33.20057523377727
1959.0,2.0,11.317320374869837,33.78410100659493,25.743443248871916
1959.0,3.0,11.847614949594295,33.835449717236294,25.68283206294566
1959.0,4.0,10.679314285714286,33.707322857142856,25.81200714285714
1960.0,1.0,33.839166880946266,33.839166880946266,33.12065055284135
1960.0,2.0,11.26829464708669,33.81669351018475,25.776631454287067
1960.0,3.0,11.555323246217332,33.79152682255846,25.702128610729027
1960.0,4.0,10.617606163024902,33.82537078857422,26.03030014038086
1961.0,1.0,33.74392191977077,33.74392191977077,33.74392191977077
1961.0,2.0,11.58248447204969,33.83187655279503,25.723769409937887
1961.0,3.0,11.503453292496173,33.78146477794793,25.70254364471669
1961.0,4.0,10.338935852050781,33.83916091918945,25.641393661499023
1962.0,1.0,33.79922114668652,33.79922114668652,33.79922114668652
1962.0,2.0,12.124431137724553,33.79532335329341,25.597979640718567
1962.0,3.0,11.839521276595745,33.82431079027356,25.675642097264436
1962.0,4.0,11.251010101010102,33.82192929292929,25.806989898989897
1963.0,1.0,33.817320485367595,33.817320485367595,33.25095431834404
1963.0,2.0,11.23729446935725,33.85195216741405,25.817663677130046
1963.0,3.0,11.387677514792898,33.7910650887574,25.74871893491124
1963.0,4.0,15.410437956204376,34.705124087591244,25.605861313868616
1964.0,1.0,33.812714874141875,33.812714874141875,33.812714874141875
1964.0,2.0,10.44920803782506,33.89453546099291,25.98752955082742
1964.0,3.0,9.996071428571428,33.76773660714285,25.986933035714287
1964.0,4.0,11.297430038452148,34.14696502685547,26.056018829345703
1965.0,1.0,33.83184476067271,33.83184476067271,33.83184476067271
1965.0,2.0,11.688108954289293,33.917338134001255,25.775988728866626
1965.0,3.0,11.205756187438965,33.91132736206055,25.838600158691406
1965.0,4.0,11.16620922088623,34.2529411315918,25.940576553344727
1966.0,1.0,33.76053736991486,33.76053736991486,33.76053736991486
1966.0,2.0,10.885960563380282,33.772793802816906,25.82247098591549
1966.0,3.0,10.723254237288135,33.68517966101695,25.786498305084752
1966.0,4.0,11.19133631713555,33.71285230179028,25.721227621483376
1967.0,1.0,33.71285230179028,33.71285230179028,25.721227621483376
1967.0,2.0,10.724761904761904,33.756343253968254,25.842583333333334
1967.0,3.0,12.973811149597168,33.276092529296875,26.173696517944336
1967.0,4.0,11.506374999999998,33.81357083333334,25.749535416666667
1968.0,1.0,33.732632759910246,33.732632759910246,30.837541510845174
1968.0,2.0,9.733112183353438,33.82370205066345,26.06961519903498
1968.0,3.0,11.68652057647705,33.53156661987305,25.606990814208984
1968.0,4.0,11.70368766784668,33.50413131713867,25.769346237182617
1969.0,1.0,33.69303358046228,33.69303358046228,33.69303358046228
1969.0,2.0,10.40521669341894,33.785593365436064,25.9230658105939
1969.0,3.0,10.651500904159134,33.74626311030741,25.846986889692587
1969.0,4.0,10.686399253731343,33.70348414179104,25.80869869402985
1970.0,1.0,33.70348414179104,33.70348414179104,25.80869869402985
1970.0,2.0,13.665555555555555,34.90611111111111,26.185
1970.0,3.0,10.451398601398603,33.61204195804196,25.767328671328674
1970.0,4.0,11.791410446166992,34.41249465942383,26.243900299072266
1971.0,1.0,33.58793670886076,33.58793670886076,33.58793670886076
1971.0,2.0,10.848809242248535,33.94344711303711,25.98886489868164
1971.0,3.0,11.17680549621582,34.001922607421875,26.07045555114746
1971.0,4.0,11.246987342834473,33.95465850830078,25.82750129699707
1972.0,1.0,33.9032087517934,33.9032087517934,33.9032087517934
1972.0,2.0,11.315228600893779,33.82371983499485,25.755977311790996
1972.0,3.0,12.262564255827854,33.859338314405264,25.58110878661088
1972.0,4.0,10.834066390991211,33.94809341430664,25.78557014465332
1973.0,1.0,33.856536865234375,33.801673889160156,32.25442123413086
